F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
1,50,condition,control-flow,BoundedAliquotClassifier_M1,BOR,3,,density_log,evaluated,BoundedAliquotClassifier,2,True,True,2,True,True,2,True,True
41,11,condition,control-flow,BoundedAliquotClassifier_M2,ROR,9,,density_log,evaluated,BoundedAliquotClassifier,3,True,True,6,True,True,7,True,True
0,52,condition,control-flow,BoundedAliquotClassifier_M3,BOR,19,no_tbfv_failures,density_log,not_detected,BoundedAliquotClassifier,,,,,,,,,
11,41,statement,data-flow,BoundedAliquotClassifier_M4,AOR,11,,density_log,evaluated,BoundedAliquotClassifier,3,True,True,4,True,True,6,True,True
11,38,statement,data-flow,BoundedAliquotClassifier_M5,AOR,13,,density_log,evaluated,BoundedAliquotClassifier,3,True,True,4,True,True,6,True,True
39,13,statement,data-flow,BoundedAliquotClassifier_M6,CR,22,,density_log,evaluated,BoundedAliquotClassifier,2,True,True,5,True,True,8,True,True
1,65,condition,control-flow,BoundedBinaryPalindromeClassifier_M1,BOR,3,,density_log,evaluated,BoundedBinaryPalindromeClassifier,2,True,True,2,True,True,2,True,True
16,50,condition,control-flow,BoundedBinaryPalindromeClassifier_M2,ROR,12,,density_log,evaluated,BoundedBinaryPalindromeClassifier,2,False,False,5,True,False,9,True,True
16,50,condition,control-flow,BoundedBinaryPalindromeClassifier_M3,ROR,18,,density_log,evaluated,BoundedBinaryPalindromeClassifier,2,False,False,5,False,False,9,False,False
56,10,statement,data-flow,BoundedBinaryPalindromeClassifier_M4,SUR,19,,density_log,evaluated,BoundedBinaryPalindromeClassifier,4,True,True,6,True,True,9,True,True
8,10,statement,data-flow,BoundedBinaryPalindromeClassifier_M5,AOR,21,,density_log,evaluated,BoundedBinaryPalindromeClassifier,2,False,False,5,True,False,8,True,False
56,10,statement,data-flow,BoundedBinaryPalindromeClassifier_M6,CR,27,,density_log,evaluated,BoundedBinaryPalindromeClassifier,2,True,True,6,True,True,9,True,True
1,65,condition,control-flow,BoundedBitTransitionClassifier_M1,BOR,3,,density_log,evaluated,BoundedBitTransitionClassifier,2,True,True,2,True,True,2,True,True
26,104,condition,control-flow,BoundedBitTransitionClassifier_M2,BOR,10,,density_log,evaluated,BoundedBitTransitionClassifier,2,False,False,4,True,False,7,True,False
20,46,condition,control-flow,BoundedBitTransitionClassifier_M3,BOR,22,,density_log,evaluated,BoundedBitTransitionClassifier,2,True,True,4,True,True,7,True,True
41,25,statement,data-flow,BoundedBitTransitionClassifier_M4,AOR,14,,density_log,evaluated,BoundedBitTransitionClassifier,2,True,True,5,True,True,8,True,True
48,18,statement,data-flow,BoundedBitTransitionClassifier_M5,SUR,16,,density_log,evaluated,BoundedBitTransitionClassifier,2,False,False,5,False,False,8,True,False
22,44,statement,data-flow,BoundedBitTransitionClassifier_M6,CR,25,,density_log,evaluated,BoundedBitTransitionClassifier,2,True,True,4,True,True,7,True,True
1,50,condition,control-flow,BoundedDivisorCountClassifier_M1,BOR,3,,density_log,evaluated,BoundedDivisorCountClassifier,2,True,True,2,True,True,2,True,True
5,47,condition,control-flow,BoundedDivisorCountClassifier_M2,BOR,8,,density_log,evaluated,BoundedDivisorCountClassifier,2,False,False,5,True,False,6,True,False
15,37,condition,control-flow,BoundedDivisorCountClassifier_M3,BOR,17,,density_log,evaluated,BoundedDivisorCountClassifier,2,True,True,5,True,True,6,True,True
34,18,statement,data-flow,BoundedDivisorCountClassifier_M4,AOR,10,,density_log,evaluated,BoundedDivisorCountClassifier,2,False,False,4,False,False,6,True,True
