status,mutant_id,subject,operator,fault_kind,fault_category,mutant_file,primary_file,primary_line,evaluation_report,duplicate_report_count,strategy,target_type,prediction_count,hit,best_rank,top1_hit,top3_hit,top5_hit,top10_hit,region_size_average,region_size_max,region_size_top1,region_size_hit,region_size_top1_average,region_size_top3_average,region_size_top5_average,region_size_top10_average,hit_item_region_size,cumulative_inspection_region_at_first_hit,inspection_region_top1,inspection_region_top3,inspection_region_top5,inspection_region_top10,hit_lines,notes
missing_result,BoundaryStressCounter_M8,BoundaryStressCounter,AOR,data-flow,statement,BoundaryStressCounter/BoundaryStressCounter_M8.java,BoundaryStressCounter/BoundaryStressCounter_M8.java,17,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressMeter_M1,BoundaryStressMeter,BOR,control-flow,condition,BoundaryStressMeter/BoundaryStressMeter_M1.java,BoundaryStressMeter/BoundaryStressMeter_M1.java,3,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressMeter_M2,BoundaryStressMeter,BOR,control-flow,condition,BoundaryStressMeter/BoundaryStressMeter_M2.java,BoundaryStressMeter/BoundaryStressMeter_M2.java,16,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressMeter_M3,BoundaryStressMeter,ROR,control-flow,condition,BoundaryStressMeter/BoundaryStressMeter_M3.java,BoundaryStressMeter/BoundaryStressMeter_M3.java,15,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressMeter_M4,BoundaryStressMeter,AOR,data-flow,statement,BoundaryStressMeter/BoundaryStressMeter_M4.java,BoundaryStressMeter/BoundaryStressMeter_M4.java,19,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressMeter_M5,BoundaryStressMeter,SUR,data-flow,statement,BoundaryStressMeter/BoundaryStressMeter_M5.java,BoundaryStressMeter/BoundaryStressMeter_M5.java,34,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressMeter_M8,BoundaryStressMeter,AOR,data-flow,statement,BoundaryStressMeter/BoundaryStressMeter_M8.java,BoundaryStressMeter/BoundaryStressMeter_M8.java,17,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressCounter_M1,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M1.java,BoundaryStressCounter/BoundaryStressCounter_M1.java,3,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressCounter_M2,BoundaryStressCounter,BOR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M2.java,BoundaryStressCounter/BoundaryStressCounter_M2.java,16,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressCounter_M3,BoundaryStressCounter,ROR,control-flow,condition,BoundaryStressCounter/BoundaryStressCounter_M3.java,BoundaryStressCounter/BoundaryStressCounter_M3.java,15,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressCounter_M4,BoundaryStressCounter,AOR,data-flow,statement,BoundaryStressCounter/BoundaryStressCounter_M4.java,BoundaryStressCounter/BoundaryStressCounter_M4.java,19,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
missing_result,BoundaryStressCounter_M5,BoundaryStressCounter,SUR,data-flow,statement,BoundaryStressCounter/BoundaryStressCounter_M5.java,BoundaryStressCounter/BoundaryStressCounter_M5.java,27,,0,,,,,,,,,,,,,,,,,,,,,,,,[],no fault_localization_eval.json found for this mutant
